"Age","Urban","Tenure","Educ","Expenditure","Marital","Income"
46,1,4,12,3470,3,15132
26,1,1,16,7518.1999,5,0
53,1,2,16,8105.0854,1,150000
49,1,4,16,5686.2666,5,1e+05
88,1,4,12,1506.3333,2,12360
81,1,2,12,4876.0001,2,18903
34,2,2,13,4718.0334,5,40000
32,1,1,14,10573.5,5,94200
67,1,2,14,6843.6667,1,22080
88,1,2,12,4291.3333,2,16008
25,1,4,13,16112.8333,5,0
28,1,4,10,7456.3333,5,66000
80,1,2,13,8962.3333,1,43421
37,1,1,15,27961.8374,1,3e+05
63,1,1,12,11763.5,1,56700
52,1,2,16,40964.9999,1,170000
79,1,4,0,1930.3333,5,12048
60,1,2,15,8502.3333,3,66315
45,1,5,15,10258.3334,1,149716
26,1,2,12,4057.8333,1,26000
41,1,1,15,12589.1667,1,93000
43,1,4,10,8648,1,43600
20,1,4,13,4658.8999,5,0
58,1,1,13,53790.1708,1,203600
54,1,1,12,14836.6667,1,302776
58,1,1,12,18937.3334,1,145000
66,1,1,11,11744.8333,2,122528
78,1,1,13,9866,1,64330
37,1,4,12,6849.4999,1,53960
60,1,4,11,3237.3333,3,19608
25,1,4,15,33582.0001,1,135200
24,1,2,15,7034.8001,5,42408
47,1,4,11,4530.8667,4,19200
38,1,1,13,22923.7521,1,377776
51,1,1,12,5496.1667,3,42484
65,1,1,15,2694.6333,3,0
55,2,2,12,3678.5,1,45112
54,1,2,16,54454.6261,1,550314
72,1,2,14,9970.0333,1,0
45,1,1,15,5497.1666,1,75300
63,2,1,13,3369.6667,1,3500
67,1,2,15,2882.6667,5,2500
42,2,2,13,5921.0854,5,150000
73,1,2,16,12950.1667,1,62305
83,2,2,12,2704.3333,1,29811
72,1,1,16,8649.8333,3,94600
71,1,2,15,4717.3333,2,14444
42,1,1,15,20448.5,1,155000
47,1,1,13,6036.1667,3,110000
79,1,1,14,6362.6667,2,91879
67,1,1,15,16732.6667,1,54596
26,1,4,12,5988.6667,1,1800
70,1,2,13,5525.6667,2,38388
44,2,1,13,8043,5,84000
28,1,4,12,5518.1333,1,30000
44,1,2,12,7669.3666,1,118000
28,1,4,15,10797.6667,1,75000
27,1,1,13,10396.8333,1,66850
65,1,2,15,6011.3333,1,0
58,1,2,15,65059.4187,5,30000
58,1,1,16,9739.0001,3,91000
59,1,4,13,7247.6667,1,58200
48,1,1,12,7542.6999,1,132864
73,1,2,13,2475.3333,3,23691
61,1,1,13,6391.0854,1,75000
65,1,4,11,5751,1,23814
68,2,1,12,7523.0001,3,48344
48,1,2,14,6056.7999,5,0
31,1,2,11,2657.6667,5,1010
43,1,4,13,12373.7522,3,46800
83,1,2,13,21724.3333,2,159409
70,1,2,12,12501,1,59216
64,1,2,12,14104.6667,1,73776
36,1,2,16,4351.1666,1,0
38,1,1,16,19040.5,1,240090
49,2,1,15,5223.8334,1,3600
50,2,1,12,5896.6667,1,111000
55,1,1,16,10585.3333,3,0
32,1,1,15,14252.1667,1,185000
53,1,1,12,16514.3334,1,0
56,1,1,13,9410.3333,1,100350
33,2,2,12,7727.8334,1,2100
42,1,4,16,8848.8334,5,77000
64,1,4,15,11869.6667,3,138000
74,1,2,12,37948.6667,2,24672
36,1,4,16,5658.5666,5,43000
57,1,2,16,12039.5001,5,53200
47,1,1,16,22627.5522,1,145900
40,1,1,16,14303.6667,1,135000
76,1,4,12,8678.6333,1,95608
29,1,1,15,4112.6001,1,0
34,1,4,16,4183.3333,5,3160
48,1,2,16,11518.8333,1,146000
59,1,1,13,4829,1,21200
47,1,1,14,17203.1667,1,143000
